STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
543,VIB,0.21,432072953,432072953,0.21,0,
544,VIC,0.48,1857732271,465206524,0.12,1392525747,
545,VID,0.50,17755394,131563,0.00,17623831,
546,VIP,0.49,33550761,1290270,0.02,32260491,
547,VIX,1.00,549190458,24019106,0.04,525171352,
548,VJC,0.30,162483400,91095884,0.17,71387516,
549,VMD,0.49,7565731,215681,0.01,7350050,
550,VND,1.00,1217844009,220134548,0.18,997709461,
551,VNE,0.49,44312146,5499649,0.06,38812497,
552,VNG,0.49,47665537,488673,0.01,47176864,
553,VNL,0.49,4619230,81784,0.09,3801390,
554,VNM,1.00,2089955445,1142509445,0.55,947446000,
555,VNS,0.49,33251004,13273445,0.20,19977559,
556,VOS,0.49,68600000,1296710,0.01,67303290,
557,VPB,0.17,783089441,783089441,0.17,0,
558,VPD,0.49,52228918,86686,0.00,52142232,
559,VPG,0.49,39297184,1156282,0.01,38140902,
560,VPH,0.49,46725322,817653,0.01,45907669,
561,VPI,0.49,107799892,1786958,0.01,106012934,
562,VPS,0.49,11985788,163165,0.01,11822623,
563,VRC,0.49,24500000,234716,0.00,24265284,
564,VRE,0.49,1141121020,724145959,0.31,416975061,
565,VSC,0.49,59422004,6689200,0.06,52732804,
566,VSH,0.49,115758210,27443716,0.12,88314494,
567,VSI,0.49,6468000,8896,0.01,6379040,
568,VTB,0.49,5871204,555759,0.05,5315445,
569,VTO,0.49,39134666,1790999,0.02,37343667,
570,YBM,0.49,7006941,26427,0.00,6980514,
571,YEG,1.00,31279968,5151653,0.16,26128315,
