STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors
435,TVS,0.49,48135235,28326504,0.29,19808731
436,TVT,0.49,10290000,2921,0.00,10260790
437,TYA,1.00,6134773,2562099,0.42,3572674
438,UDC,0.49,17150000,1537460,0.04,15612540
439,UIC,0.49,3920000,2011710,0.25,1908290
440,VAF,0.49,18456020,4335,0.00,18451685
441,VCA,0.49,7441787,84787,0.01,7357000
442,VCB,0.30,1112663234,874545936,0.24,238117298
443,VCF,0.49,13023776,169518,0.01,12854258
444,VCG,0.49,216438229,5802327,0.01,210635902
445,VCI,1.00,333000000,69484945,0.21,263515055
446,VDP,0.49,7880622,56523,0.00,7824099
447,VDS,1.00,100099906,88995,0.00,99209956
448,VGC,0.49,219691500,25338632,0.06,194352868
449,VHC,1.00,183376956,41069022,0.22,142307934
450,VHM,0.50,1674756959,780408284,0.23,894348675
451,VHM11801,1.00,20000000,38164,0.00,19961836
452,VIB,0.21,318394313,316878931,0.20,1515382
453,VIC,0.49,1687936837,513577365,0.15,1174359472
454,VID,0.49,17400286,151693,0.00,17248593
455,VIP,0.49,33550761,1738944,0.03,31811817
456,VIS,1.00,73830393,54715954,0.74,19114439
457,VIX,0.49,62582297,6180457,0.05,56401840
458,VJC,0.30,162483400,99037446,0.18,63445954
459,VJC11912,1.00,6000000,2700001,0.45,3299999
460,VMD,0.49,7565731,234081,0.02,7331650
461,VNE,0.49,44312146,6049574,0.07,38262572
462,VNG,0.49,47665537,199443,0.00,47466094
463,VNL,0.49,4410000,68771,0.01,3722290
464,VNM,1.00,2089955445,1153034601,0.55,936920844
465,VNS,0.49,33251004,13435041,0.20,19815963
466,VOS,0.49,68600000,1697950,0.01,66902050
467,VPB,0.15,379495194,485805299,0.19,-106310105
468,VPD,0.49,52228918,48005,0.00,52180913
469,VPG,0.00,0,679753,0.00,-679753
470,VPH,0.49,46725322,11302658,0.12,35422664
471,VPI,0.49,97999951,67597,0.00,97323981
472,VPS,0.49,11985788,162478,0.01,11823310
473,VRC,0.49,24500000,1106716,0.02,23393284
474,VRE,0.49,1141121020,711950688,0.31,429170332
475,VRE12007,1.00,20000000,0,0.00,20000000
476,VSC,0.49,27010171,3803827,0.07,23206344
477,VSH,0.49,115758210,27647246,0.12,88110964
478,VSI,0.49,6468000,8906,0.00,6378940
479,VTB,0.49,5871204,201835,0.02,5669369
480,VTO,0.49,39134666,1892928,0.02,37241738
481,YBM,0.49,7006941,17027,0.00,6989914
482,YEG,1.00,31279968,8017011,0.26,23262957
