Symbol,Ma ISIN,Ma FIGI,Ten DN Niem Yet,KL dang ky NY,KLLH,Date,Sector
TDM,VN000000TDM3,BBG00CLB4K33,Công ty Cổ phần Nước Thủ Dầu Một,"100.000.000,00","100.000.000,00",5/10/18,
TDP,VN000000TDP6,BBG00MH6QRJ1,Công ty Cổ phần Thuận Đức,"75.527.993,00","75.527.993,00",24/07/2020,
TDW,VN000000TDW2,BBG0016TLPP1,Công ty Cổ phần Cấp nước Thủ Đức,"8.500.000,00","8.500.000,00",17/09/2010,
TEG,VN000000TEG3,BBG00BNVD569,Công ty Cổ phần Năng lượng và Bất động sản Trường Thành,"72.806.562,00","72.806.562,00",28/12/2017,
TGG,VN000000TGG8,BBG00KXBGZ72,Công ty Cổ phần The Golden Group,"27.299.990,00","27.299.990,00",9/5/18,
THG,VN000000THG6,BBG001XQ0HG8,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang,"22.957.896,00","22.957.896,00",28/04/2011,
TIP,VN000000TIP5,BBG00CG5Y5W0,Công ty Cổ phần Phát triển Khu Công nghiệp Tín Nghĩa,"65.007.857,00","65.007.857,00",9/3/16,
TIX,VN000000TIX9,BBG000PXMLY1,Công ty Cổ phần Sản xuất Kinh doanh XNK Dịch vụ và Đầu tư Tân Bình,"30.000.000,00","30.000.000,00",17/11/2009,
TLD,VN000000TLD5,BBG00JDRR4H8,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,"74.752.586,00","74.752.586,00",29/11/2017,
TLG,VN000000TLG8,BBG000QBPNQ0,Công ty Cổ phần Tập đoàn Thiên Long,"77.794.453,00","77.794.453,00",2/2/10,
TLH,VN000000TLH6,BBG000QHNX96,Công ty Cổ phần Tập đoàn Thép Tiến Lên,"112.320.017,00","112.320.017,00",4/3/10,
TMP,VN000000TMP7,BBG000DBGXX4,Công ty Cổ phần Thủy điện Thác Mơ,"70.000.000,00","70.000.000,00",8/6/09,
TMS,VN000000TMS1,BBG000MB9N73,Công ty Cổ phần Transimex,"121.749.845,00","121.738.226,00",2/8/00,
TMT,VN000000TMT9,BBG000Q6C334,Công ty Cổ phần Ô tô TMT,"37.287.680,00","36.877.980,00",15/01/2010,
TN1,VN000000TN14,BBG00NLC3782,Công ty Cổ phần Thương mại Dịch vụ TNS Holdings,"49.665.950,00","49.665.950,00",13/03/2019,
TNA,VN000000TNA7,BBG000CXD179,Công ty Cổ phần Thương mại Xuất nhập khẩu Thiên Nam,"49.576.264,00","49.231.310,00",4/5/05,
TNC,VN000000TNC3,BBG000DW4B05,Công ty Cổ phần Cao su Thống Nhất,"19.250.000,00","19.250.000,00",7/8/07,
TNH,VN000000TNH2,BBG00YPRV2W4,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,"95.874.610,00","95.874.610,00",23/12/2020,
TNI,VN000000TNI0,BBG00GBHZSF8,Công ty Cổ phần Tập đoàn Thành Nam,"52.500.000,00","52.500.000,00",22/05/2017,
TNT,VN000000TNT7,BBG000QXTX77,Công ty Cổ phần Tập đoàn TNT,"51.000.000,00","51.000.000,00",14/05/2010,
TPB,VN000000TPB0,BBG00KFL4BS3,Ngân hàng Thương mại Cổ phần Tiên Phong,"2.201.635.009,00","2.201.635.009,00",22/03/2018,
TPC,VN000000TPC8,BBG000BQFGH9,Công ty Cổ phần Nhựa Tân Đại Hưng,"24.430.596,00","22.516.956,00",20/11/2007,
TRA,VN000000TRA8,BBG000JVVR33,Công ty Cổ phần Traphaco,"41.453.673,00","41.450.540,00",12/11/08,
TRC,VN000000TRC4,BBG000BYJ1C6,Công ty Cổ phần Cao su Tây Ninh,"30.000.000,00","29.125.000,00",17/07/2007,
TSC,VN000000TSC2,BBG000TGKR64,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,"196.858.925,00","196.858.925,00",24/09/2007,
TTA,VN000000TTA4,BBG00WWCQWC5,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,"170.057.593,00","170.057.593,00",18/08/2020,
TTB,VN000000TTB2,BBG007YXYQQ1,Công ty Cổ phần Tập đoàn Tiến Bộ,"101.509.583,00","101.509.583,00",26/07/2018,
TTE,VN000000TTE6,BBG00MNX51V1,Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh,"28.490.400,00","28.490.400,00",26/11/2018,
TTF,VN000000TTF3,BBG000TFT0R3,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,"393.548.302,00","393.532.487,00",1/2/08,
TV2,VN000000TV22,BBG000PMVHJ1,Công ty Cổ phần Tư vấn Xây dựng Điện 2,"67.526.165,00","67.526.165,00",22/04/2019,
TVB,VN000000TVB8,BBG009DCDKK8,Công ty Cổ phần Chứng khoán Trí Việt,"112.097.019,00","112.097.019,00",13/06/2018,
TVS,VN000000TVS2,BBG007TK6KJ7,Công ty Cổ phần Chứng khoán Thiên Việt,"151.314.672,00","151.314.672,00",25/12/2014,
TVT,VN000000TVT0,BBG00H2CNJ06,Tổng Công ty Việt Thắng - CTCP,"21.000.000,00","21.000.000,00",27/06/2017,
TYA,VN000000TYA4,BBG000DCXFT7,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam,"6.134.773,00","30.680.582,00",12/2/05,
UIC,VN000000UIC1,BBG000TW05T4,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị IDICO,"8.000.000,00","8.000.000,00",31/10/2007,
VAF,VN000000VAF9,BBG009BCLYM9,Công ty Cổ phần Phân lân Nung chảy Văn Điển,"37.665.348,00","37.665.348,00",21/05/2015,
VCA,VN000000VCA6,BBG000TRCXM8,Công ty Cổ phần Thép VICASA - VNSTEEL,"15.187.322,00","15.187.322,00",30/12/2020,
VCB,VN000000VCB4,BBG000BM8HL9,Ngân hàng TMCP Ngoại Thương Việt Nam,"4.732.516.571,00","5.589.091.262,00",12/6/09,
VCF,VN000000VCF5,BBG001F4FT84,Công ty Cổ phần VINACAFÉ Biên Hòa,"26.579.135,00","26.579.135,00",21/01/2011,
VCG,VN000000VCG3,BBG000BLCJY8,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,"534.465.514,00","534.465.514,00",16/12/2020,
VCI,VN000000VCI9,BBG0073XTVS8,Công ty Cổ phần Chứng khoán VIETCAP,"437.500.000,00","437.500.000,00",30/06/2017,
VDP,VN000000VDP2,BBG00H5S8Y48,Công ty Cổ phần Dược phẩm Trung Ương Vidipha,"16.831.904,00","16.831.904,00",27/07/2017,
VDS,VN000000VDS6,BBG000VVXNW4,Công ty Cổ phần Chứng khoán Rồng Việt,"210.000.000,00","210.000.000,00",29/06/2017,
VFG,VN000000VFG6,BBG000Q13YK8,Công ty Cổ phần Khử trùng Việt Nam,"41.714.614,00","41.712.614,00",11/12/09,
VGC,VN000000VGC3,BBG003QTXY19,Tổng Công ty Viglacera - CTCP,"448.350.000,00","448.350.000,00",26/04/2019,
VHC,VN000000VHC1,BBG000V0W6Y8,Công ty Cổ phần Vĩnh Hoàn,"183.376.956,00","183.376.956,00",7/12/07,
VHM,VN000000VHM0,BBG00KMYS8Q0,Công ty Cổ phần Vinhomes,"4.354.367.488,00","4.354.367.488,00",7/5/18,
VIB,VN000000VIB1,BBG00FP4X0Q5,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,"2.536.807.534,00","2.536.807.534,00",16/10/2020,
VIC,VN000000VIC9,BBG000TD3TM8,Tập đoàn Vingroup - Công ty Cổ phần,"3.813.935.561,00","3.813.935.561,00",7/9/07,
VID,VN000000VID7,BBG000QMX6H4,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,"40.836.069,00","40.836.069,00",12/7/06,
VIP,VN000000VIP1,BBG000QGPMH1,Công ty Cổ phần Vận tải Xăng dầu VIPCO,"68.470.941,00","68.470.941,00",9/11/06,
